index,date,state,fips,positive,negative,death,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,deathIncrease,new positive cases,new negative cases,new deaths,new negative cases (last 7 days),new positive cases (last 7 days),new deaths (last 7 days),tests (last 7 days),death rate (last 7 days),positive case pct,new deaths (per capita),Hospitalized (per capita),In ICU (per capita),On Ventilator (per capita),new positive (per capita),tests (last 7 days per capita),testing rate of change,testing rate of change (last 7 days average),death pct rate of change,positive case pct rate of change,positive case pct rate of change (last 7 days average),positive cases rate of change,positive cases rate of change (last 7 days average)
8414,2020-03-04,IL,17,4.0,124.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8415,2020-03-04,MI,26,52.0,,,,,,0,18.0,0.0,0,0.0,43.0,0.0,43.0,0.0,1.0,0.0,,,,4.301757267843914e-06,4.301757267843914e-06,0.72,1.2488888888888887,0.0,0.0,0.3333333333333333,1.0,1.0
8416,2020-03-04,NC,37,1.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8417,2020-03-04,NH,33,2.0,10.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8418,2020-03-04,NY,36,6.0,48.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8419,2020-03-04,OR,41,3.0,29.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8420,2020-03-04,RI,44,2.0,15.0,,,,,0,0.0,10.0,0,13.0,0.0,0.0,13.0,,0.0,0.0,,,,0.0,1.2295295158018188e-05,3.3333333333333335,2.666666666666667,,0.0,0.0,,0.0
8421,2020-03-04,SC,45,0.0,5.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8422,2020-03-04,TX,48,1.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8423,2020-03-04,WA,53,626.0,417.0,16.0,,,,2,92.0,153.0,2,417.0,418.0,14.0,835.0,0.03349282296650718,0.5005988023952096,1.8578502999963772e-06,,,,5.547010181417755e-05,0.00011080750003549821,0.34894991922455576,0.30181677721151523,-0.005943796751802684,-0.07290685188588897,-0.07134302822925577,0.6847826086956522,0.6366134646871479
8424,2020-03-04,WI,55,1.0,19.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8386,2020-03-05,AZ,4,2.0,28.0,,,,,0,0.0,1.0,0,1.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.3943800349320086e-07,inf,0.0,,0.0,0.0,,0.0
8387,2020-03-05,CA,6,53.0,462.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8388,2020-03-05,CO,8,0.0,19.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8389,2020-03-05,DC,11,0.0,6.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8390,2020-03-05,FL,12,9.0,31.0,,,,,0,7.0,7.0,0,7.0,7.0,0.0,14.0,0.0,0.5,0.0,,,,3.286489125829105e-07,6.57297825165821e-07,inf,0.0,0.0,0.5,0.5,1.0,1.0
8391,2020-03-05,GA,13,2.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8392,2020-03-05,IL,17,5.0,165.0,,,,,0,1.0,41.0,0,41.0,1.0,0.0,42.0,0.0,0.023809523809523808,0.0,,,,7.848628216760275e-08,3.296423851039315e-06,inf,0.0,0.0,0.023809523809523808,0.023809523809523808,1.0,1.0
8393,2020-03-05,MD,24,0.0,17.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8394,2020-03-05,MI,26,72.0,8.0,,,,,0,20.0,0.0,0,0.0,63.0,0.0,63.0,0.0,1.0,0.0,,,,6.3025746017248045e-06,6.3025746017248045e-06,0.46511627906976744,0.987631352282515,0.0,0.0,0.25,1.0,1.0
8395,2020-03-05,NC,37,1.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8396,2020-03-05,NE,31,0.0,17.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
